Animal,ID,Frame,Width,Length,Height_Centroid,Height_average,Volume,Real
14,1734629593,0,141.4213562373095,431.335136523794,1188.7141,1329.3447368022632,63384486.39547594,360
14,1734629593,1,148.9731519435633,438.74480053899214,1226.3433,1369.5975783876343,66510397.60167368,360
14,1734629593,2,152.0690632574555,436.152496267074,1188.2642,1419.8390021647901,69675759.3532368,360
14,1734629593,3,152.2366578718805,440.4327417438445,3060.0,1433.805157301362,70959017.23481412,360
14,1734629593,4,146.15402833996743,439.44738024022854,3060.0,1450.6801466609056,71049961.54301186,360
14,1734629593,5,150.0,446.0,3060.0,1494.6919596051148,73561264.79200214,360
10,1734629402,0,134.0,446.0,3060.0,1514.537472039549,70716783.64444779,373
10,1734629402,1,134.0,446.0,3060.0,1511.1179525263383,70232229.07957979,373
10,1734629402,2,142.00352108310554,454.0,3060.0,1445.1730238975242,68933308.06687264,373
10,1734629402,3,142.0,454.0,3060.0,1472.2684910712937,70102064.2023613,373
10,1734629402,4,142.00352108310554,438.0,3060.0,1484.333271385505,70277243.06699662,373
10,1734629402,5,142.0,436.0,3060.0,1515.1499492684272,71936289.2914034,373
8,1734629331,0,150.0,414.0,1251.0969,1324.0760503488134,59135884.560682505,1077
8,1734629331,1,150.00333329629711,422.0,1289.726,1342.370002398316,61489942.69985519,1077
8,1734629331,2,151.99013125857877,432.6337943341921,1302.3124,1337.0661179100653,62013126.54867617,1077
8,1734629331,3,153.05554547287727,415.99278839902985,1314.6094,1328.4573174983534,60135277.391200736,1077
8,1734629331,4,142.57980221616245,425.21523961401004,1338.2509,1312.6182141314314,58428574.56563203,1077
8,1734629331,5,141.41074923781431,407.7707689376471,1345.7788,1336.7076759531722,58082621.93551202,1077
8,1734629331,6,142.55525244620065,415.9531223587581,1347.4421,1358.838565610318,60100070.91838144,1077
6,1734629283,0,150.0,390.0,1207.1974,1238.8482684162066,53187472.707913995,365
6,1734629283,1,144.183910336764,391.3118960624632,1193.914,1260.280031126637,53316146.716814145,365
6,1734629283,2,144.183910336764,384.7037821493311,1198.9011,1264.2854706724006,53443875.41626182,365
6,1734629283,3,142.21462653327893,401.33028791757044,1203.2786,1278.787581110082,54877890.25576622,365
6,1734629283,4,142.3938200906205,391.8596687591108,1197.3962,1260.5269504076757,53634161.21288663,365
6,1734629283,5,140.24621207005913,402.67232335982567,1194.1866,1267.8592244396987,54810822.13175929,365
36,1734630556,0,144.12841496387864,400.13622680282276,3060.0,1349.3422431242325,60098354.166500114,348
36,1734630556,1,138.52075656738234,407.50582817918075,3060.0,1344.5908213161563,60143547.43745649,348
36,1734630556,2,137.3644786689776,398.05778474990285,3060.0,1358.060860399971,60042586.760002576,348
36,1734630556,3,137.2953021774598,405.83370978764196,3060.0,1367.3037120925972,61014560.84840502,348
36,1734630556,4,138.1774221788784,412.53484701295235,3060.0,1369.9773671333253,61566782.878986,348
36,1734630556,5,132.0,402.0,3060.0,1357.9155587603245,61523080.220765375,348
26,1734630157,0,148.16544806398016,421.4747916542578,1173.1667,1366.7331707089998,64246026.1554943,354
26,1734630157,1,148.0,422.0,1182.4039,1348.5657255191047,64423681.83951839,354
26,1734630157,2,150.0,422.0,3060.0,1385.977646099736,65445864.44879576,354
26,1734630157,3,150.0,412.0,3060.0,1372.592322612565,64257909.58308794,354
26,1734630157,4,150.0,410.0,3060.0,1379.9426412574087,64530257.733124204,354
26,1734630157,5,148.0,414.0,3060.0,1387.2269436992622,65005454.5817562,354
29,1734630237,0,142.0,393.0,1365.8726,1361.917082392167,59563443.598429024,320
29,1734630237,1,142.0,406.0,1375.0343,1364.4663574354236,59714505.666798845,320
29,1734630237,2,141.7956275771577,421.62779794505957,1377.844,1364.2777681337936,62407522.22550907,320
29,1734630237,3,138.0905500025255,416.2703448481527,1379.4386,1370.56887614547,61901743.2911074,320
38,1734630620,0,134.0,404.0,1288.0358,1294.947753609523,57718411.27388707,351
38,1734630620,1,142.0,430.0,1308.7668,1327.009820220842,62142542.871110946,351
38,1734630620,2,138.0,426.0,1333.2854,1338.3124040567097,62610269.19898022,351
38,1734630620,3,142.0,436.0,1347.906,1368.4253875757688,66750421.98055982,351
38,1734630620,4,142.0,441.0,1379.518,1399.0857413439257,70408989.93311591,351
38,1734630620,5,150.0,452.0,1371.2136,1386.432790797765,72324652.96476927,351
32,1734630390,0,146.11296999240005,415.21681083501426,3060.0,1389.8680027054781,65685161.80786782,375
32,1734630390,1,144.9310180741169,425.57490527520537,3060.0,1395.8285783948045,66310232.445236914,375
32,1734630390,2,146.98639392814562,431.7406628984581,1284.3833,1388.3352889885964,67312048.15131685,375
32,1734630390,3,149.25481566770299,421.0855020064215,1291.63,1402.4448821281596,68610408.52347507,375
32,1734630390,4,147.31259280862582,423.869083562366,1290.6852,1372.0002079729165,66188034.03303066,375
32,1734630390,5,149.4590244849738,432.90299144265566,1285.2334,1372.8608575468606,67598295.76476777,375
16,1734629659,0,142.86357128393507,449.3039060591394,3060.0,1349.2403365264327,65863167.0275432,367
16,1734629659,1,136.33048081775402,457.3598145880331,3060.0,1348.6940663223345,65500676.02501227,367
16,1734629659,2,136.194713553794,457.3598145880331,1329.9552,1331.9713210688606,64639236.240154274,367
16,1734629659,3,139.5886814895821,459.51822597150596,1340.533,1335.2673122437718,65142351.0951211,367
16,1734629659,4,139.44174410842686,463.1684358848301,1376.9713,1349.0498066253795,66533787.41294839,367
16,1734629659,5,142.27438279606065,455.10658092363377,1389.4034,1376.4771455311418,67633204.54567483,367
17,1734629693,0,142.0,438.0,1289.6115,1355.0270576962278,65736427.65002615,373
17,1734629693,1,142.0,422.0,1302.5039,1388.5214037009434,66775382.825373895,373
17,1734629693,2,142.0,422.0,3060.0,1408.5936277440458,67711095.68566932,373
17,1734629693,3,140.0,430.0,3060.0,1435.3554384686324,68215267.21322775,373
17,1734629693,4,150.0,422.0,3060.0,1415.8652093166008,67454650.30224884,373
17,1734629693,5,150.0,420.0,3060.0,1410.4883022675604,67470707.93897337,373
13,1734629542,0,142.0,382.0,1269.7068,1264.5032047957468,53181211.28409205,309
13,1734629542,1,139.08630414242805,394.5592477689504,1267.0035,1267.8135033500873,54759400.836699635,309
13,1734629542,2,146.37281168304446,390.7492802296634,1277.939,1290.6667995500738,57508240.58755217,309
13,1734629542,3,147.763324272297,404.18807503438296,1318.6085,1322.5439048781907,61441422.188930556,309
13,1734629542,4,142.0,404.0,1395.4739,1379.936415110879,64688659.26757574,309
13,1734629542,5,140.0,418.0,1435.0922,1417.7042745854308,68889086.11066067,309
9,1734629366,0,142.0,438.0,3060.0,1359.158301156075,63688798.83388204,355
9,1734629366,1,142.0,427.0,3060.0,1347.296276035755,64449264.66045493,355
9,1734629366,2,150.0,436.0,1200.745,1313.7987208790073,63208170.26019659,355
24,1734629924,0,142.0,374.0,1200.0664,1199.967330887469,49903041.38961525,0
24,1734629924,1,140.0,382.0,1217.0583,1205.6547713300638,50039495.62927956,0
24,1734629924,2,140.0,378.0,1231.074,1221.2331617352452,51163563.31089924,0
24,1734629924,3,140.0,390.0,1256.9927,1254.6838379425913,53601348.240741104,0
24,1734629924,4,140.0,380.0,1276.4762,1273.476479740692,54923767.09473856,0
24,1734629924,5,142.0,390.0,1294.1061,1289.6793476235648,56794899.11065045,0
