Animal,ID,Frame,Width,Length,Height_Centroid,Height_average,Volume,Real,Peso_estimado
14,1734629593,0,141.4213562373095,431.335136523794,1188.7141,1329.3447368022632,63384486.39547594,360,374.0608334544501
14,1734629593,1,148.9731519435633,438.74480053899214,1226.3433,1369.5975783876345,66510397.60167368,360,382.2431622192403
14,1734629593,2,152.0690632574555,436.152496267074,1188.2642,1419.83900216479,69675759.3532368,360,389.09579946433064
14,1734629593,3,152.2366578718805,440.4327417438445,3060.0,1433.805157301362,70959017.23481412,360,392.4824515924785
14,1734629593,4,146.15402833996745,439.4473802402285,3060.0,1450.6801466609056,71049961.54301186,360,392.5605582648331
14,1734629593,5,150.0,446.0,3060.0,1494.6919596051148,73561264.79200214,360,398.87799034434533
10,1734629402,0,134.0,446.0,3060.0,1514.537472039549,70716783.64444779,373,392.6353501541017
10,1734629402,1,134.0,446.0,3060.0,1511.1179525263385,70232229.07957979,373,391.5569879088062
10,1734629402,2,142.00352108310554,454.0,3060.0,1445.1730238975242,68933308.06687264,373,389.61190008367475
10,1734629402,3,142.0,454.0,3060.0,1472.2684910712935,70102064.2023613,373,392.24090976536377
10,1734629402,4,142.00352108310554,438.0,3060.0,1484.333271385505,70277243.06699662,373,390.66685444465827
10,1734629402,5,142.0,436.0,3060.0,1515.1499492684272,71936289.2914034,373,394.07766732595354
8,1734629331,0,150.0,414.0,1251.0969,1324.0760503488134,59135884.560682505,1077,361.740586114113
8,1734629331,1,150.00333329629711,422.0,1289.726,1342.370002398316,61489942.69985519,1077,368.4183884007308
8,1734629331,2,151.99013125857877,432.6337943341921,1302.3124,1337.0661179100653,62013126.54867617,1077,370.9583507333955
8,1734629331,3,153.05554547287727,415.99278839902985,1314.6094,1328.4573174983534,60135277.391200736,1077,364.4183877111563
8,1734629331,4,142.57980221616245,425.2152396140101,1338.2509,1312.6182141314314,58428574.56563203,1077,361.35239859214744
8,1734629331,5,141.41074923781431,407.7707689376471,1345.7788,1336.7076759531722,58082621.93551202,1077,358.3885675334598
8,1734629331,6,142.55525244620063,415.9531223587581,1347.4421,1358.838565610318,60100070.91838144,1077,364.3281722085618
6,1734629283,0,150.0,390.0,1207.1974,1238.8482684162066,53187472.707914,365,343.8366220900377
6,1734629283,1,144.183910336764,391.3118960624632,1193.914,1260.280031126637,53316146.71681415,365,344.33084456647555
6,1734629283,2,144.183910336764,384.7037821493311,1198.9011,1264.2854706724006,53443875.41626182,365,343.8403336738353
6,1734629283,3,142.21462653327893,401.3302879175704,1203.2786,1278.787581110082,54877890.25576622,365,349.5645108311822
6,1734629283,4,142.3938200906205,391.8596687591108,1197.3962,1260.5269504076757,53634161.21288663,365,345.2184631172191
6,1734629283,5,140.24621207005913,402.67232335982567,1194.1866,1267.859224439699,54810822.13175929,365,349.556781389014
36,1734630556,0,144.12841496387864,400.1362268028228,3060.0,1349.3422431242325,60098354.166500114,348,362.3534195072075
36,1734630556,1,138.52075656738234,407.5058281791808,3060.0,1344.5908213161565,60143547.43745649,348,363.3890105642796
36,1734630556,2,137.3644786689776,398.0577847499029,3060.0,1358.060860399971,60042586.760002576,348,361.9550759135979
36,1734630556,3,137.2953021774598,405.833709787642,3060.0,1367.3037120925972,61014560.84840502,348,365.27483130598466
36,1734630556,4,138.1774221788784,412.5348470129524,3060.0,1369.9773671333253,61566782.878986,348,367.434539963943
36,1734630556,5,132.0,402.0,3060.0,1357.9155587603243,61523080.220765375,348,366.0032184363348
26,1734630157,0,148.16544806398016,421.4747916542578,1173.1667,1366.7331707089998,64246026.1554943,354,374.87157148001916
26,1734630157,1,148.0,422.0,1182.4039,1348.5657255191047,64423681.83951839,354,375.3512613572214
26,1734630157,2,150.0,422.0,3060.0,1385.977646099736,65445864.44879576,354,377.7222313121336
26,1734630157,3,150.0,412.0,3060.0,1372.592322612565,64257909.58308794,354,373.7087005056531
26,1734630157,4,150.0,410.0,3060.0,1379.9426412574087,64530257.73312421,354,374.08670410557187
26,1734630157,5,148.0,414.0,3060.0,1387.2269436992622,65005454.5817562,354,375.69612769926397
29,1734630237,0,142.0,393.0,1365.8726,1361.917082392167,59563443.598429024,320,360.15204761314277
29,1734630237,1,142.0,406.0,1375.0343,1364.4663574354236,59714505.666798845,320,362.1622502293914
29,1734630237,2,141.7956275771577,421.6277979450596,1377.844,1364.2777681337936,62407522.22550907,320,370.5619536756327
29,1734630237,3,138.0905500025255,416.2703448481527,1379.4386,1370.56887614547,61901743.2911074,320,368.69753311274246
38,1734630620,0,134.0,404.0,1288.0358,1294.947753609523,57718411.27388707,351,357.02362199381406
38,1734630620,1,142.0,430.0,1308.7668,1327.009820220842,62142542.87111095,351,370.95078665798894
38,1734630620,2,138.0,426.0,1333.2854,1338.3124040567095,62610269.19898022,351,371.57893237668407
38,1734630620,3,142.0,436.0,1347.906,1368.4253875757688,66750421.98055982,351,382.45841184667694
38,1734630620,4,142.0,441.0,1379.518,1399.0857413439255,70408989.93311591,351,391.3331651426198
38,1734630620,5,150.0,452.0,1371.2136,1386.432790797765,72324652.96476927,351,396.9235451579371
32,1734630390,0,146.11296999240005,415.2168108350143,3060.0,1389.868002705478,65685161.80786782,375,377.417491133361
32,1734630390,1,144.9310180741169,425.57490527520537,3060.0,1395.8285783948045,66310232.445236914,375,380.1582461032451
32,1734630390,2,146.98639392814562,431.7406628984581,1284.3833,1388.3352889885964,67312048.15131685,375,383.215674596887
32,1734630390,3,149.254815667703,421.0855020064215,1291.63,1402.4448821281596,68610408.52347507,375,384.80779131368604
32,1734630390,4,147.31259280862582,423.869083562366,1290.6852,1372.0002079729163,66188034.03303066,375,379.6644767941283
32,1734630390,5,149.4590244849738,432.90299144265566,1285.2334,1372.8608575468606,67598295.76476777,375,384.01111336849254
16,1734629659,0,142.86357128393507,449.3039060591394,3060.0,1349.2403365264329,65863167.0275432,367,382.0197960241242
16,1734629659,1,136.33048081775402,457.3598145880331,3060.0,1348.6940663223345,65500676.02501227,367,382.12623804243884
16,1734629659,2,136.194713553794,457.3598145880331,1329.9552,1331.9713210688606,64639236.240154274,367,380.1080194676608
16,1734629659,3,139.5886814895821,459.518225971506,1340.533,1335.2673122437718,65142351.0951211,367,381.5399130054449
16,1734629659,4,139.44174410842686,463.1684358848301,1376.9713,1349.0498066253797,66533787.41294839,367,385.20527840989047
16,1734629659,5,142.27438279606065,455.10658092363377,1389.4034,1376.4771455311418,67633204.54567483,367,386.78752840353155
17,1734629693,0,142.0,438.0,1289.6115,1355.0270576962278,65736427.65002615,373,380.36725203067704
17,1734629693,1,142.0,422.0,1302.5039,1388.5214037009434,66775382.825373895,373,380.7730631683862
17,1734629693,2,142.0,422.0,3060.0,1408.5936277440458,67711095.68566932,373,382.8984424415918
17,1734629693,3,140.0,430.0,3060.0,1435.3554384686324,68215267.21322775,373,385.0466258552797
17,1734629693,4,150.0,422.0,3060.0,1415.8652093166008,67454650.30224884,373,382.31771439665374
17,1734629693,5,150.0,420.0,3060.0,1410.4883022675604,67470707.93897337,373,382.1000845334597
13,1734629542,0,142.0,382.0,1269.7068,1264.5032047957468,53181211.28409205,309,342.82493760264623
13,1734629542,1,139.08630414242805,394.5592477689504,1267.0035,1267.813503350087,54759400.83669964,309,348.43199439873047
13,1734629542,2,146.37281168304446,390.7492802296634,1277.939,1290.6667995500738,57508240.58755217,309,354.8436517056347
13,1734629542,3,147.763324272297,404.18807503438296,1318.6085,1322.5439048781907,61441422.18893056,309,366.0867295791664
13,1734629542,4,142.0,404.0,1395.4739,1379.936415110879,64688659.26757574,309,373.6822456951549
13,1734629542,5,140.0,418.0,1435.0922,1417.7042745854308,68889086.11066067,309,385.03586297517575
9,1734629366,0,142.0,438.0,3060.0,1359.158301156075,63688798.83388204,355,375.5829792329797
9,1734629366,1,142.0,427.0,3060.0,1347.296276035755,64449264.66045493,355,376.03000249704957
9,1734629366,2,150.0,436.0,1200.745,1313.7987208790073,63208170.26019659,355,374.20699248517167
24,1734629924,0,142.0,374.0,1200.0664,1199.967330887469,49903041.38961525,0,333.2222514018999
24,1734629924,1,140.0,382.0,1217.0583,1205.6547713300638,50039495.62927956,0,334.57561515899647
24,1734629924,2,140.0,378.0,1231.074,1221.2331617352452,51163563.31089924,0,337.06516192854747
24,1734629924,3,140.0,390.0,1256.9927,1254.6838379425913,53601348.240741104,0,344.90435271679854
24,1734629924,4,140.0,380.0,1276.4762,1273.476479740692,54923767.09473856,0,347.01983834006785
24,1734629924,5,142.0,390.0,1294.1061,1289.6793476235648,56794899.11065045,0,352.9816449989188
5,1734629259,0,131.59407281484982,400.6656960609431,1287.4376,1296.6803480944277,52848800.94728734,301,344.2561685244374
5,1734629259,1,135.14806694880988,392.3187479588504,1291.7916,1297.3239555970129,53187687.53156414,301,344.1224447102191
5,1734629259,2,135.32922818075923,391.8596687591108,1297.2197,1304.7841364643582,53697086.35205622,301,345.3804142195676
