Animal,ID,Frame,Width,Length,Height_Centroid,Height_average,Volume,Real,Peso_estimado
14,1734629593,0,141.4213562373095,431.335136523794,1188.7141,1329.3447368022632,63384486.39547594,360,381.9797974644666
14,1734629593,1,148.9731519435633,438.74480053899214,1226.3433,1369.5975783876345,66510397.60167368,360,403.1248254419772
14,1734629593,2,152.0690632574555,436.152496267074,1188.2642,1419.83900216479,69675759.3532368,360,411.7933771208754
14,1734629593,3,152.2366578718805,440.4327417438445,3060.0,1433.805157301362,70959017.23481412,360,412.2626420412654
14,1734629593,4,146.15402833996745,439.4473802402285,3060.0,1450.6801466609056,71049961.54301186,360,395.2312793519088
14,1734629593,5,150.0,446.0,3060.0,1494.6919596051148,73561264.79200214,360,406.0
10,1734629402,0,134.0,446.0,3060.0,1514.537472039549,70716783.64444779,373,361.2
10,1734629402,1,134.0,446.0,3060.0,1511.1179525263385,70232229.07957979,373,361.2
10,1734629402,2,142.00352108310554,454.0,3060.0,1445.1730238975242,68933308.06687264,373,383.6098590326955
10,1734629402,3,142.0,454.0,3060.0,1472.2684910712935,70102064.2023613,373,383.59999999999997
10,1734629402,4,142.00352108310554,438.0,3060.0,1484.333271385505,70277243.06699662,373,383.6098590326955
10,1734629402,5,142.0,436.0,3060.0,1515.1499492684272,71936289.2914034,373,383.59999999999997
8,1734629331,0,150.0,414.0,1251.0969,1324.0760503488134,59135884.560682505,1077,406.0
8,1734629331,1,150.00333329629711,422.0,1289.726,1342.370002398316,61489942.69985519,1077,406.0093332296319
8,1734629331,2,151.99013125857877,432.6337943341921,1302.3124,1337.0661179100653,62013126.54867617,1077,411.57236752402054
8,1734629331,3,153.05554547287727,415.99278839902985,1314.6094,1328.4573174983534,60135277.391200736,1077,414.55552732405636
8,1734629331,4,142.57980221616245,425.2152396140101,1338.2509,1312.6182141314314,58428574.56563203,1077,385.22344620525485
8,1734629331,5,141.41074923781431,407.7707689376471,1345.7788,1336.7076759531722,58082621.93551202,1077,381.9500978658801
8,1734629331,6,142.55525244620063,415.9531223587581,1347.4421,1358.838565610318,60100070.91838144,1077,385.15470684936173
6,1734629283,0,150.0,390.0,1207.1974,1238.8482684162066,53187472.707914,365,406.0
6,1734629283,1,144.183910336764,391.3118960624632,1193.914,1260.280031126637,53316146.71681415,365,389.7149489429392
6,1734629283,2,144.183910336764,384.7037821493311,1198.9011,1264.2854706724006,53443875.41626182,365,389.7149489429392
6,1734629283,3,142.21462653327893,401.3302879175704,1203.2786,1278.787581110082,54877890.25576622,365,384.200954293181
6,1734629283,4,142.3938200906205,391.8596687591108,1197.3962,1260.5269504076757,53634161.21288663,365,384.7026962537374
6,1734629283,5,140.24621207005913,402.67232335982567,1194.1866,1267.859224439699,54810822.13175929,365,378.6893937961655
36,1734630556,0,144.12841496387864,400.1362268028228,3060.0,1349.3422431242325,60098354.166500114,348,389.5595618988602
36,1734630556,1,138.52075656738234,407.5058281791808,3060.0,1344.5908213161565,60143547.43745649,348,373.8581183886705
36,1734630556,2,137.3644786689776,398.0577847499029,3060.0,1358.060860399971,60042586.760002576,348,370.62054027313724
36,1734630556,3,137.2953021774598,405.833709787642,3060.0,1367.3037120925972,61014560.84840502,348,370.4268460968874
36,1734630556,4,138.1774221788784,412.5348470129524,3060.0,1369.9773671333253,61566782.878986,348,372.8967821008595
36,1734630556,5,132.0,402.0,3060.0,1357.9155587603243,61523080.220765375,348,355.59999999999997
26,1734630157,0,148.16544806398016,421.4747916542578,1173.1667,1366.7331707089998,64246026.1554943,354,400.86325457914444
26,1734630157,1,148.0,422.0,1182.4039,1348.5657255191047,64423681.83951839,354,400.4
26,1734630157,2,150.0,422.0,3060.0,1385.977646099736,65445864.44879576,354,406.0
26,1734630157,3,150.0,412.0,3060.0,1372.592322612565,64257909.58308794,354,406.0
26,1734630157,4,150.0,410.0,3060.0,1379.9426412574087,64530257.73312421,354,406.0
26,1734630157,5,148.0,414.0,3060.0,1387.2269436992622,65005454.5817562,354,400.4
29,1734630237,0,142.0,393.0,1365.8726,1361.917082392167,59563443.598429024,320,383.59999999999997
29,1734630237,1,142.0,406.0,1375.0343,1364.4663574354236,59714505.666798845,320,383.59999999999997
29,1734630237,2,141.7956275771577,421.6277979450596,1377.844,1364.2777681337936,62407522.22550907,320,383.0277572160415
29,1734630237,3,138.0905500025255,416.2703448481527,1379.4386,1370.56887614547,61901743.2911074,320,372.6535400070714
38,1734630620,0,134.0,404.0,1288.0358,1294.947753609523,57718411.27388707,351,361.2
38,1734630620,1,142.0,430.0,1308.7668,1327.009820220842,62142542.87111095,351,383.59999999999997
38,1734630620,2,138.0,426.0,1333.2854,1338.3124040567095,62610269.19898022,351,372.4
