Peso Real,Peso Predito,Diferença
347,375.7037,-28.703704833984375
384,401.33524,-17.335235595703125
403,383.22235,19.77764892578125
328,322.50742,5.492584228515625
289,305.30966,-16.309661865234375
302,295.12595,6.874053955078125
407,374.01196,32.988037109375
347,331.62485,15.375152587890625
200,212.25024,-12.250244140625
384,385.53918,-1.5391845703125
252,231.05455,20.945449829101562
429,450.44794,-21.44793701171875
414,423.9003,-9.900299072265625
289,286.8472,2.152801513671875
377,363.95288,13.047119140625
340,340.7621,-0.7620849609375
245,233.57518,11.424819946289062
522,524.5547,-2.5546875
384,390.08667,-6.086669921875
282,270.90228,11.09771728515625
228,264.4673,-36.46728515625
447,446.31958,0.680419921875
339,354.9367,-15.93670654296875
469,467.36816,1.6318359375
316,334.28635,-18.286346435546875
320,368.52432,-48.524322509765625
226,243.15504,-17.155044555664062
242,260.54977,-18.549774169921875
356,343.31644,12.683563232421875
399,390.93408,8.06591796875
275,274.90207,0.097930908203125
389,400.04672,-11.046722412109375
396,383.34393,12.65606689453125
338,358.02155,-20.02154541015625
368,371.89612,-3.8961181640625
414,410.28162,3.7183837890625
390,380.18994,9.81005859375
349,347.8579,1.14208984375
411,392.97867,18.021331787109375
304,307.84525,-3.845245361328125
340,344.95544,-4.9554443359375
376,375.54453,0.455474853515625
356,333.35065,22.64935302734375
347,361.93817,-14.93817138671875
316,327.78995,-11.789947509765625
200,216.32677,-16.326766967773438
389,394.58533,-5.5853271484375
418,430.0371,-12.037109375
379,387.2434,-8.243408203125
382,393.1404,-11.140411376953125
379,383.21335,-4.213348388671875
351,368.7599,-17.7598876953125
379,389.5227,-10.522705078125
370,373.65363,-3.65362548828125
245,230.6014,14.398605346679688
392,366.03412,25.96588134765625
396,365.5732,30.426788330078125
231,237.2299,-6.2299041748046875
348,350.90067,-2.900665283203125
417,349.55124,67.44876098632812
352,345.52826,6.47174072265625
408,384.8106,23.18939208984375
357,363.9971,-6.997100830078125
282,283.62915,-1.629150390625
340,350.71948,-10.719482421875
351,371.78354,-20.783538818359375
367,348.84738,18.152618408203125
382,379.2467,2.7532958984375
289,298.48843,-9.488433837890625
414,420.95917,-6.95916748046875
367,367.18536,-0.18536376953125
387,382.65506,4.344940185546875
384,384.1326,-0.132598876953125
440,450.9455,-10.94549560546875
347,343.5874,3.41259765625
396,372.14728,23.85272216796875
414,414.3288,-0.32879638671875
377,364.17804,12.82196044921875
335,340.26462,-5.264617919921875
345,351.66122,-6.661224365234375
384,362.3476,21.65240478515625
355,342.8504,12.14959716796875
228,227.89725,0.102752685546875
406,412.60123,-6.601226806640625
481,485.20673,-4.20672607421875
320,330.66586,-10.665863037109375
393,379.0515,13.948486328125
262,250.74136,11.258636474609375
401,404.32675,-3.326751708984375
306,301.62698,4.373016357421875
275,282.90698,-7.906982421875
417,341.7361,75.26388549804688
340,366.24207,-26.2420654296875
269,262.68912,6.310882568359375
345,341.2569,3.74310302734375
345,345.92688,-0.9268798828125
231,234.8413,-3.8412933349609375
271,269.651,1.3489990234375
467,451.07858,15.921417236328125
429,406.52896,22.471038818359375
358,347.30307,10.696929931640625
414,415.15488,-1.154876708984375
347,353.39264,-6.39263916015625
262,269.42105,-7.421051025390625
300,286.66806,13.331939697265625
403,398.33423,4.665771484375
377,374.8526,2.14739990234375
306,287.94525,18.05474853515625
370,380.2399,-10.239898681640625
399,384.37112,14.628875732421875
341,340.9814,0.018585205078125
355,348.79373,6.206268310546875
328,340.59125,-12.59124755859375
340,367.00723,-27.007232666015625
382,391.54108,-9.54107666015625
396,399.55737,-3.557373046875
306,315.73935,-9.739349365234375
367,379.39505,-12.395050048828125
226,233.22704,-7.2270355224609375
364,367.9917,-3.99169921875
418,396.22522,21.7747802734375
269,265.69482,3.30517578125
467,456.24738,10.75262451171875
481,451.4281,29.5718994140625
335,328.4008,6.599212646484375
353,358.01654,-5.01654052734375
347,351.78528,-4.7852783203125
224,241.19467,-17.194671630859375
252,267.34644,-15.346435546875
356,347.30655,8.693450927734375
379,372.03687,6.963134765625
227,235.82217,-8.822174072265625
384,387.20352,-3.203521728515625
440,439.82315,0.176849365234375
328,318.0176,9.982391357421875
245,249.7175,-4.717498779296875
388,387.2221,0.77789306640625
347,337.46982,9.530181884765625
350,352.13635,-2.1363525390625
390,390.99722,-0.997222900390625
552,538.51733,13.482666015625
348,350.86908,-2.86907958984375
399,384.66367,14.336334228515625
353,359.32126,-6.321258544921875
467,462.26495,4.73504638671875
316,333.15848,-17.158477783203125
440,443.4324,-3.432403564453125
324,359.33087,-35.33087158203125
396,387.13077,8.869232177734375
353,365.27448,-12.27447509765625
231,233.17984,-2.179840087890625
358,356.5725,1.427490234375
552,541.3858,10.61419677734375
304,329.79092,-25.790924072265625
359,382.99707,-23.9970703125
398,399.82642,-1.826416015625
411,405.76654,5.23345947265625
353,345.45865,7.541351318359375
367,345.07947,21.9205322265625
384,383.45895,0.541046142578125
357,355.67368,1.326324462890625
522,517.3378,4.66217041015625
358,359.81754,-1.817535400390625
447,452.65945,-5.659454345703125
367,359.9887,7.01129150390625
373,364.98145,8.0185546875
474,471.10806,2.891937255859375
447,443.9862,3.0137939453125
396,356.50015,39.499847412109375
360,373.52094,-13.52093505859375
300,298.34424,1.65576171875
280,284.7981,-4.798095703125
345,347.11954,-2.119537353515625
396,375.97717,20.0228271484375
320,319.56885,0.43115234375
388,379.4018,8.59820556640625
340,337.49762,2.50238037109375
420,408.83075,11.16925048828125
427,445.5674,-18.567413330078125
355,366.93402,-11.93402099609375
320,306.4903,13.50970458984375
315,306.2385,8.761505126953125
335,339.13254,-4.132537841796875
469,466.17834,2.8216552734375
420,409.90442,10.0955810546875
255,253.9043,1.095703125
398,418.58548,-20.585479736328125
387,394.07275,-7.07275390625
447,428.1293,18.870697021484375
398,402.54938,-4.54937744140625
