Width,Length,Height_Centroid,Height_average,Volume,Real, datasets.csv
132.0,373.0,1344.4734,1330.6842365507637,55099642.182856895,396,REGRESSION.csv
142.0,454.0,1296.4545,1342.8198479556108,69392901.2828021,397, MyDATASET.csv
